checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,present_employment_since,installment_rate,personal_status_sex,other_debtors,present_residence_since,property,age,other_installment_plans,housing,num_existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
< 0 DM,6,Cuenta crítica / Otros créditos,Radio/TV,1169,Desconocido / Sin ahorros,>= 7 años,4,Hombre: soltero,Ninguno,4,Bienes raíces,67,Ninguno,Propia,2,Empleado calificado / oficial,1,Sí,Sí,Buen Pagador
0 - 200 DM,48,Créditos existentes pagados hasta ahora,Radio/TV,5951,< 100 DM,1 - 4 años,2,Mujer: divorciada/separada/casada,Ninguno,2,Bienes raíces,22,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Mal Pagador
Sin cuenta,12,Cuenta crítica / Otros créditos,Educación,2096,< 100 DM,4 - 7 años,2,Hombre: soltero,Ninguno,3,Bienes raíces,49,Ninguno,Propia,1,No calificado - residente,2,No,Sí,Buen Pagador
< 0 DM,42,Créditos existentes pagados hasta ahora,Muebles/Equipo,7882,< 100 DM,4 - 7 años,2,Hombre: soltero,Garante,4,Seguro de vida / Ahorro para vivienda,45,Ninguno,Gratis,1,Empleado calificado / oficial,2,No,Sí,Buen Pagador
< 0 DM,24,Retraso en pagos en el pasado,Auto (nuevo),4870,< 100 DM,1 - 4 años,3,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,53,Ninguno,Gratis,2,Empleado calificado / oficial,2,No,Sí,Mal Pagador
Sin cuenta,36,Créditos existentes pagados hasta ahora,Educación,9055,Desconocido / Sin ahorros,1 - 4 años,2,Hombre: soltero,Ninguno,4,Desconocido / Sin propiedad,35,Ninguno,Gratis,1,No calificado - residente,2,Sí,Sí,Buen Pagador
Sin cuenta,24,Créditos existentes pagados hasta ahora,Muebles/Equipo,2835,500 - 1000 DM,>= 7 años,3,Hombre: soltero,Ninguno,4,Seguro de vida / Ahorro para vivienda,53,Ninguno,Propia,1,Empleado calificado / oficial,1,No,Sí,Buen Pagador
0 - 200 DM,36,Créditos existentes pagados hasta ahora,Auto (usado),6948,< 100 DM,1 - 4 años,2,Hombre: soltero,Ninguno,2,Auto u otro,35,Ninguno,Alquiler,1,Gerencia / Autoempleado / Altamente calificado,1,Sí,Sí,Buen Pagador
Sin cuenta,12,Créditos existentes pagados hasta ahora,Radio/TV,3059,>= 1000 DM,4 - 7 años,2,Hombre: divorciado/separado,Ninguno,4,Bienes raíces,61,Ninguno,Propia,1,No calificado - residente,1,No,Sí,Buen Pagador
0 - 200 DM,30,Cuenta crítica / Otros créditos,Auto (nuevo),5234,< 100 DM,Desempleado,4,Hombre: casado/viudo,Ninguno,2,Auto u otro,28,Ninguno,Propia,2,Gerencia / Autoempleado / Altamente calificado,1,No,Sí,Mal Pagador
